[34mINFO:   [0m Could not find any nv files on this host!
2021-07-30 12:30:06.891973: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library libcudart.so.10.1
2021-07-30 12:35:45.110343: W tensorflow/stream_executor/platform/default/dso_loader.cc:59] Could not load dynamic library 'libcuda.so.1'; dlerror: libcuda.so.1: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /.singularity.d/libs
2021-07-30 12:35:45.111033: W tensorflow/stream_executor/cuda/cuda_driver.cc:312] failed call to cuInit: UNKNOWN ERROR (303)
2021-07-30 12:35:45.111663: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:156] kernel driver does not appear to be running on this host (srvcnthpc100.uct.ac.za): /proc/driver/nvidia/version does not exist
2021-07-30 12:35:45.112848: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN)to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-07-30 12:35:45.145366: I tensorflow/core/platform/profile_utils/cpu_utils.cc:104] CPU Frequency: 2000000000 Hz
2021-07-30 12:35:45.152909: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x501ae40 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
2021-07-30 12:35:45.153473: I tensorflow/compiler/xla/service/service.cc:176]   StreamExecutor device (0): Host, Default Version
INFO: loading CT volume...
3D FFT computed.
Model: "functional_1"
__________________________________________________________________________________________________
Layer (type)                    Output Shape         Param #     Connected to                     
==================================================================================================
input_2 (InputLayer)            [(None, 200, 200, 3) 0                                            
__________________________________________________________________________________________________
inception_v3 (Functional)       (None, 4, 4, 2048)   21802784    input_2[0][0]                    
__________________________________________________________________________________________________
global_average_pooling2d (Globa (None, 2048)         0           inception_v3[0][0]               
__________________________________________________________________________________________________
dense (Dense)                   (None, 1024)         2098176     global_average_pooling2d[0][0]   
__________________________________________________________________________________________________
dense_1 (Dense)                 (None, 1)            1025        dense[0][0]                      
__________________________________________________________________________________________________
dense_2 (Dense)                 (None, 1)            1025        dense[0][0]                      
__________________________________________________________________________________________________
dense_3 (Dense)                 (None, 1)            1025        dense[0][0]                      
__________________________________________________________________________________________________
tf_op_layer_Mul (TensorFlowOpLa [(None, 1)]          0           dense_1[0][0]                    
__________________________________________________________________________________________________
tf_op_layer_Mul_1 (TensorFlowOp [(None, 1)]          0           dense_2[0][0]                    
__________________________________________________________________________________________________
tf_op_layer_Mul_2 (TensorFlowOp [(None, 1)]          0           dense_3[0][0]                    
==================================================================================================
Total params: 23,904,035
Trainable params: 23,869,603
Non-trainable params: 34,432
__________________________________________________________________________________________________
Step 1: 	 loss = 1.9258  	 (7.76 seconds/step)
Step 2: 	 loss = 2.4127  	 (4.44 seconds/step)
Step 3: 	 loss = 2.3659  	 (4.73 seconds/step)
Step 4: 	 loss = 1.7033  	 (4.85 seconds/step)
Step 5: 	 loss = 2.5949  	 (5.05 seconds/step)
Step 6: 	 loss = 1.9225  	 (5.09 seconds/step)
Step 7: 	 loss = 2.0246  	 (5.33 seconds/step)
Step 8: 	 loss = 1.6570  	 (5.42 seconds/step)
Step 9: 	 loss = 2.1462  	 (5.37 seconds/step)
Step 10: 	 loss = 2.4604  	 (5.57 seconds/step)
Step 11: 	 loss = 2.1559  	 (5.78 seconds/step)
Step 12: 	 loss = 2.3809  	 (5.79 seconds/step)
Step 13: 	 loss = 2.1456  	 (5.83 seconds/step)
Step 14: 	 loss = 2.2681  	 (5.83 seconds/step)
Step 15: 	 loss = 2.3288  	 (5.94 seconds/step)
Step 16: 	 loss = 2.8626  	 (6.15 seconds/step)
Step 17: 	 loss = 3.2508  	 (6.05 seconds/step)
Step 18: 	 loss = 2.4398  	 (5.99 seconds/step)
Step 19: 	 loss = 2.5402  	 (6.13 seconds/step)
Step 20: 	 loss = 1.8787  	 (6.04 seconds/step)
Step 21: 	 loss = 2.0879  	 (6.16 seconds/step)
Step 22: 	 loss = 1.9255  	 (6.45 seconds/step)
Step 23: 	 loss = 1.9054  	 (6.17 seconds/step)
Step 24: 	 loss = 1.5927  	 (6.26 seconds/step)
Step 25: 	 loss = 1.7687  	 (6.39 seconds/step)
Step 26: 	 loss = 2.3178  	 (6.38 seconds/step)
Step 27: 	 loss = 2.4798  	 (6.31 seconds/step)
Step 28: 	 loss = 2.2050  	 (6.40 seconds/step)
Step 29: 	 loss = 1.7641  	 (6.57 seconds/step)
Step 30: 	 loss = 1.7394  	 (6.54 seconds/step)
Step 31: 	 loss = 2.1453  	 (6.37 seconds/step)
Step 32: 	 loss = 2.1155  	 (6.53 seconds/step)
Step 33: 	 loss = 2.1995  	 (6.35 seconds/step)
Step 34: 	 loss = 1.9606  	 (6.47 seconds/step)
Step 35: 	 loss = 2.2620  	 (6.46 seconds/step)
Step 36: 	 loss = 2.3234  	 (6.58 seconds/step)
Step 37: 	 loss = 1.4061  	 (6.44 seconds/step)
Step 38: 	 loss = 2.2663  	 (6.51 seconds/step)
Step 39: 	 loss = 2.1827  	 (6.61 seconds/step)
Step 40: 	 loss = 1.7488  	 (6.58 seconds/step)
Step 41: 	 loss = 2.0693  	 (6.62 seconds/step)
Step 42: 	 loss = 2.1477  	 (6.64 seconds/step)
Step 43: 	 loss = 2.0796  	 (6.66 seconds/step)
Step 44: 	 loss = 2.3082  	 (6.65 seconds/step)
Step 45: 	 loss = 1.9093  	 (6.68 seconds/step)
Step 46: 	 loss = 2.0782  	 (6.75 seconds/step)
Step 47: 	 loss = 2.1234  	 (6.66 seconds/step)
Step 48: 	 loss = 1.7744  	 (6.64 seconds/step)
Step 49: 	 loss = 1.8495  	 (6.69 seconds/step)
Step 50: 	 loss = 1.5870  	 (6.68 seconds/step)
Step 51: 	 loss = 2.5234  	 (6.60 seconds/step)
Step 52: 	 loss = 1.6874  	 (6.71 seconds/step)
Step 53: 	 loss = 2.0587  	 (6.88 seconds/step)
Step 54: 	 loss = 1.7779  	 (6.72 seconds/step)
Step 55: 	 loss = 2.9231  	 (6.71 seconds/step)
Step 56: 	 loss = 1.9625  	 (6.75 seconds/step)
Step 57: 	 loss = 2.3246  	 (6.55 seconds/step)
Step 58: 	 loss = 2.4419  	 (6.63 seconds/step)
Step 59: 	 loss = 1.9728  	 (6.68 seconds/step)
Step 60: 	 loss = 2.0091  	 (6.69 seconds/step)
Step 61: 	 loss = 1.6068  	 (6.73 seconds/step)
Step 62: 	 loss = 1.9348  	 (6.79 seconds/step)
Step 63: 	 loss = 2.5317  	 (6.74 seconds/step)
Step 64: 	 loss = 2.1444  	 (6.72 seconds/step)
Step 65: 	 loss = 1.7364  	 (6.78 seconds/step)
Step 66: 	 loss = 2.3066  	 (6.95 seconds/step)
Step 67: 	 loss = 1.6315  	 (6.75 seconds/step)
Step 68: 	 loss = 1.8785  	 (6.79 seconds/step)
Step 69: 	 loss = 2.0174  	 (6.71 seconds/step)
Step 70: 	 loss = 2.3590  	 (6.82 seconds/step)
Step 71: 	 loss = 1.9198  	 (6.81 seconds/step)
Step 72: 	 loss = 1.8240  	 (7.04 seconds/step)
Step 73: 	 loss = 1.9766  	 (6.96 seconds/step)
Step 74: 	 loss = 2.1569  	 (6.86 seconds/step)
Step 75: 	 loss = 2.0279  	 (6.77 seconds/step)
Step 76: 	 loss = 2.7647  	 (7.07 seconds/step)
Step 77: 	 loss = 1.9009  	 (7.00 seconds/step)
Step 78: 	 loss = 2.0284  	 (6.82 seconds/step)
Step 79: 	 loss = 1.5835  	 (6.99 seconds/step)
Step 80: 	 loss = 2.2838  	 (6.79 seconds/step)
Step 81: 	 loss = 1.9064  	 (7.05 seconds/step)
Step 82: 	 loss = 1.9837  	 (6.76 seconds/step)
Step 83: 	 loss = 1.5461  	 (7.02 seconds/step)
Step 84: 	 loss = 2.6284  	 (6.82 seconds/step)
Step 85: 	 loss = 1.9073  	 (7.14 seconds/step)
slurmstepd: error: *** JOB 1091435 ON srvcnthpc100 CANCELLED AT 2021-07-30T12:45:00 ***
